publisher,author,primary_isbn10,primary_isbn13,date,contributor,title,weeks_on_list
Riverhead,Paula Hawkins,1594634025,9.78E+12,2/19/17,by Paula Hawkins,THE GIRL ON THE TRAIN,102
Scribner,Anthony Doerr,1501173219,9.78E+12,5/7/17,by Anthony Doerr,ALL THE LIGHT WE CANNOT SEE,81
Vintage,E L James,525431888,9.78E+12,3/5/17,by E. L. James,FIFTY SHADES DARKER,66
St. Martin's,Kristin Hannah,1466850604,9.78E+12,10/29/17,by Kristin Hannah,THE NIGHTINGALE,63
Penguin Group,Kathryn Stockett,1440697663,9.78E+12,4/8/12,by Kathryn Stockett,THE HELP,58
Washington Square,Fredrik Backman,1476738025,9.78E+12,7/23/17,by Fredrik Backman,A MAN CALLED OVE,56
Andrews McMeel,Rupi Kaur,144947425X,9.78E+12,3/11/18,by Rupi Kaur,MILK AND HONEY,52
Bantam,George R R Martin,553897845,9.78E+12,9/17/17,by George R. R. Martin,A GAME OF THRONES,51
Berkley,Liane Moriarty,425274861,9.78E+12,5/21/17,by Liane Moriarty,BIG LITTLE LIES,38
Ballantine,Lisa Wingate,425284697,9.78E+12,6/9/18,by Lisa Wingate,BEFORE WE WERE YOURS,35
Scout,Ruth Ware,1501132954,9.78E+12,10/8/17,by Ruth Ware,THE WOMAN IN CABIN 10,35
Penguin Press,Celeste Ng,735224307,9.78E+12,6/9/18,by Celeste Ng,LITTLE FIRES EVERYWHERE,31
Knopf Doubleday Publishing,Stieg Larsson,307272117,9.78E+12,1/13/13,by Stieg Larsson,THE GIRL WITH THE DRAGON TATTOO,31
Houghton Mifflin Harcourt,Margaret Atwood,038549081X,9.78E+12,6/3/18,by Margaret Atwood,THE HANDMAID'S TALE,27
Doubleday,John Grisham,1101967684,9.78E+12,9/24/17,by John Grisham,THE WHISTLER,25
Grand Central,Nicholas Sparks,1455520667,9.78E+12,5/17/15,by Nicholas Sparks,THE LONGEST RIDE,25
Broadway,Ernest Cline,307887448,9.78E+12,5/20/18,by Ernest Cline,READY PLAYER ONE,24
Doubleday,John Grisham,1524797154,9.78E+12,5/27/18,by John Grisham,CAMINO ISLAND,23
Dell,Diana Gabaldon,440335167,9.78E+12,9/24/17,by Diana Gabaldon,OUTLANDER,21
Penguin Group,Sylvia Day,None,9.78E+12,2/10/13,by Sylvia Day,BARED TO YOU,21
Andrews McMeel,Rupi Kaur,1449486797,9.78E+12,4/1/18,by Rupi Kaur,THE SUN AND HER FLOWERS,20
Doubleday,Dan Brown,385514239,9.78E+12,3/4/18,by Dan Brown,ORIGIN,20
Ballantine,Martha Hall Kelly,1101883081,9.78E+12,9/17/17,by Martha Hall Kelly,LILAC GIRLS,20
